time,T [Nm],w [rad/s]
0.00054217,383.5,-39.372
0.00054445,359.56,-30.896
0.00054674,333.48,-22.991
0.00054902,305.45,-15.705
0.0005513,275.64,-9.0796
0.00055359,244.25,-3.1532
0.00055587,211.49,2.0403
0.00055815,177.57,6.4722
0.00056044,142.71,10.118
0.00056272,107.15,12.96
0.00056501,71.109,14.984
0.00056729,34.831,16.182
0.00056957,-1.4474,16.551
0.00057186,-37.489,16.094
0.00057414,-73.057,14.819
0.00057642,-107.92,12.74
0.00057871,-141.84,9.8751
0.00058099,-174.61,6.2486
0.00058328,-206.01,1.8893
0.00058556,-235.84,-3.1691
0.00058784,-263.89,-8.8884
0.00059013,-289.99,-15.226
0.00059241,-313.96,-22.135
0.00059469,-335.65,-29.566
0.00059698,-354.93,-37.465
0.00059926,-371.66,-45.774
0.00060154,-385.74,-54.436
0.00060383,-397.08,-63.387
0.00060611,-405.61,-72.565
0.0006084,-411.28,-81.905
0.00061068,-414.04,-91.341
0.00061296,-413.89,-100.81
0.00061525,-410.84,-110.24
0.00061753,-404.9,-119.56
0.00061981,-396.13,-128.72
0.0006221,-384.58,-137.65
0.00062438,-370.34,-146.28
0.00062667,-353.51,-154.55
0.00062895,-334.2,-162.41
0.00063123,-312.55,-169.81
0.00063352,-288.71,-176.68
0.0006358,-262.84,-182.99
0.00063808,-235.13,-188.69
0.00064037,-205.75,-193.73
0.00064265,-174.92,-198.08
0.00064493,-142.85,-201.72
0.00064722,-109.75,-204.61
0.00064997,-68.897,-207.07
0.00065271,-27.301,-208.4
0.00065546,14.632,-208.59
0.00065821,56.486,-207.62
0.00066095,97.847,-205.5
0.0006637,138.31,-202.27
0.00066645,177.46,-197.93
0.0006692,214.93,-192.55
0.00067194,250.34,-186.16
0.00067469,283.35,-178.84
0.00067685,307.46,-172.45
0.00067902,329.72,-165.56
0.00068119,350.01,-158.2
0.00068335,368.19,-150.43
0.00068552,384.16,-142.29
0.00068768,397.81,-133.83
0.00068985,409.08,-125.1
0.00069201,417.89,-116.15
0.00069418,424.19,-107.04
0.00069634,427.94,-97.823
0.00069851,429.13,-88.55
0.00070067,427.75,-79.28
0.00070284,423.8,-70.067
0.000705,417.33,-60.967
0.00070717,408.38,-52.035
0.00070933,397,-43.323
0.0007115,383.26,-34.883
0.00071367,367.26,-26.766
0.00071583,349.11,-19.019
0.000718,328.91,-11.687
0.00072016,306.79,-4.8132
0.00072233,282.91,1.5619
0.00072449,257.41,7.4021
0.00072666,230.45,12.674
0.00072882,202.21,17.348
0.00073099,172.86,21.398
0.00073315,142.6,24.803
0.00073589,103.33,28.156
0.00073863,63.294,30.423
0.00074137,22.912,31.589
0.00074411,-17.413,31.648
0.00074684,-57.27,30.61
0.00074958,-96.257,28.492
0.00075232,-133.98,25.323
0.00075506,-170.06,21.144
0.0007578,-204.12,16.004
0.00076054,-235.84,9.9631
0.00076327,-264.88,3.0904
0.00076537,-285.15,-2.6922
0.00076747,-303.56,-8.8807
0.00076957,-320,-15.435
0.00077167,-334.38,-22.312
0.00077376,-346.62,-29.469
0.00077586,-356.64,-36.859
0.00077796,-364.39,-44.435
0.00078006,-369.83,-52.149
0.00078216,-372.92,-59.953
0.00078426,-373.66,-67.797
0.00078635,-372.03,-75.631
0.00078845,-368.06,-83.407
0.00079055,-361.78,-91.074
0.00079265,-353.22,-98.586
0.00079475,-342.44,-105.89
0.00079685,-329.52,-112.95
0.00079894,-314.53,-119.72
0.00080104,-297.56,-126.15
0.00080314,-278.73,-132.21
0.00080524,-258.16,-137.85
0.00080734,-235.96,-143.04
0.00080944,-212.29,-147.75
0.00081153,-187.28,-151.95
0.00081363,-161.1,-155.62
0.00081573,-133.9,-158.72
0.0008183,-99.452,-161.73
0.00082038,-70.832,-163.51
0.00082038,-70.832,-163.51
0.00082295,-34.909,-164.88
0.00082607,9.1355,-165.29
0.00082919,53.099,-164.33
0.00083231,96.384,-162
0.00083543,138.4,-158.35
0.00083855,178.59,-153.41
0.00084167,216.4,-147.26
0.000844,242.74,-141.92
0.00084632,267.28,-136
0.00084865,289.83,-129.52
0.00085098,310.23,-122.55
0.0008533,328.32,-115.13
0.00085563,343.97,-107.32
0.00085795,357.07,-99.172
0.00086028,367.53,-90.752
0.00086261,375.25,-82.12
0.00086493,380.21,-73.341
0.00086726,382.35,-64.48
0.00086958,381.67,-55.602
0.00087191,378.17,-46.772
0.00087424,371.9,-38.057
0.00087656,362.91,-29.519
0.00087889,351.26,-21.222
0.00088121,337.06,-13.225
0.00088354,320.41,-5.5878
0.00088587,301.45,1.635
0.00088819,280.33,8.3914
0.00089052,257.21,14.633
0.00089284,232.28,20.315
0.00089517,205.73,25.398
0.0008975,177.77,29.847
0.00089982,148.61,33.632
0.00090215,118.49,36.726
0.00090498,80.814,39.538
0.00090782,42.482,41.27
0.00091066,3.9385,41.913
0.00091349,-34.372,41.465
0.00091633,-72.01,39.939
0.00091916,-108.55,37.362
0.000922,-143.56,33.769
0.00092483,-176.65,29.211
0.00092767,-207.45,23.746
0.00092991,-229.9,18.841
0.00093214,-250.55,13.453
0.00093438,-269.24,7.6255
0.00093662,-285.86,1.4029
0.00093886,-300.28,-5.1668
0.00094109,-312.4,-12.033
0.00094333,-322.15,-19.144
0.00094557,-329.46,-26.446
0.0009478,-334.27,-33.883
0.00095004,-336.57,-41.4
0.00095228,-336.34,-48.939
0.00095452,-333.58,-56.445
0.00095675,-328.33,-63.861
0.00095899,-320.62,-71.132
0.00096123,-310.53,-78.204
0.00096346,-298.11,-85.024
0.0009657,-283.48,-91.54
0.00096794,-266.75,-97.706
0.00097018,-248.03,-103.47
0.00097241,-227.47,-108.8
0.00097465,-205.23,-113.65
0.00097689,-181.46,-117.99
0.00097912,-156.35,-121.78
0.00098136,-130.09,-124.99
0.0009836,-102.86,-127.61
0.00098635,-68.387,-129.97
0.0009891,-33.147,-131.38
0.00099185,2.4677,-131.81
0.00099459,38.062,-131.26
0.00099734,73.244,-129.74
0.0010001,107.62,-127.26
0.0010028,140.82,-123.86
0.0010056,172.48,-119.56
0.0010083,202.24,-114.41
0.0010111,229.79,-108.48
0.0010138,254.82,-101.83
0.001016,272.36,-96.21
0.0010181,288.1,-90.234
0.0010202,301.94,-83.942
0.0010224,313.8,-77.375
0.0010245,323.59,-70.578
0.0010266,331.25,-63.595
0.0010288,336.75,-56.471
0.0010309,340.04,-49.253
0.0010331,341.11,-41.99
0.0010352,339.96,-34.727
0.0010373,336.59,-27.512
0.0010395,331.04,-20.393
0.0010416,323.35,-13.416
0.0010437,313.57,-6.6247
0.0010459,301.78,-0.064295
0.001048,288.05,6.2234
0.0010501,272.49,12.198
0.0010523,255.2,17.822
0.0010544,236.31,23.059
0.0010565,215.94,27.877
0.0010587,194.23,32.246
0.0010608,171.34,36.138
0.0010629,147.42,39.53
0.0010655,117.39,42.933
0.0010681,86.397,45.548
0.0010707,54.751,47.355
0.001074,13.538,48.471
0.0010773,-27.556,48.218
0.0010807,-67.857,46.612
0.001084,-106.71,43.689
0.0010873,-143.47,39.509
0.0010898,-169.8,35.513
0.0010924,-194.32,30.871
0.0010949,-216.78,25.633
0.0010975,-236.99,19.852
0.0011,-254.75,13.589
0.0011025,-269.89,6.9073
0.0011046,-280.03,1.3115
0.0011066,-288.34,-4.4715
0.0011086,-294.8,-10.404
0.0011107,-299.35,-16.449
0.0011127,-301.98,-22.566
0.0011147,-302.67,-28.717
0.0011168,-301.43,-34.863
0.0011188,-298.26,-40.963
0.0011208,-293.2,-46.98
0.0011229,-286.27,-52.874
0.0011249,-277.52,-58.61
0.0011269,-267.02,-64.15
0.0011289,-254.83,-69.459
0.001131,-241.03,-74.504
0.001133,-225.71,-79.253
0.001135,-208.96,-83.676
0.0011371,-190.91,-87.746
0.0011391,-171.65,-91.436
0.0011411,-151.32,-94.725
0.0011436,-125.65,-98.117
0.001146,-98.841,-100.87
0.0011485,-71.146,-102.95
0.0011515,-35.87,-104.59
0.0011545,-0.10507,-105.15
0.0011576,35.648,-104.62
0.0011606,70.893,-103.01
0.0011636,105.14,-100.35
0.0011667,137.91,-96.672
0.0011697,168.77,-92.029
0.0011727,197.27,-86.484
0.001175,217.22,-81.689
0.0011774,235.41,-76.453
0.0011797,251.71,-70.817
0.001182,265.97,-64.827
0.0011843,278.1,-58.531
0.0011866,287.99,-51.98
0.001189,295.58,-45.226
0.0011913,300.8,-38.325
0.0011936,303.63,-31.33
0.0011959,304.03,-24.298
0.0011982,302.03,-17.284
0.0012005,297.63,-10.345
0.0012029,290.88,-3.5359
0.0012052,281.84,3.0905
0.0012075,270.6,9.4817
0.0012098,257.24,15.588
0.0012121,241.89,21.361
0.0012144,224.68,26.756
0.0012168,205.74,31.732
0.0012191,185.25,36.251
0.0012214,163.37,40.279
0.0012237,140.28,43.786
0.001226,116.19,46.746
0.0012283,91.281,49.137
0.0012313,58.177,51.363
0.0012343,24.519,52.587
0.0012373,-9.2272,52.799
0.0012403,-42.597,52.003
0.0012433,-75.132,50.219
0.0012448,-90.743,48.983
0.0012448,-90.743,48.983
0.0012478,-121.21,45.785
0.0012508,-149.77,41.7
0.0012538,-176.04,36.794
0.0012561,-194.58,32.475
0.0012585,-211.38,27.746
0.0012608,-226.31,22.649
0.0012631,-239.25,17.228
0.0012654,-250.1,11.531
0.0012678,-258.78,5.6072
0.0012701,-265.21,-0.49211
0.0012724,-269.36,-6.7142
0.0012747,-271.19,-13.006
0.0012771,-270.7,-19.312
0.0012794,-267.89,-25.58
0.0012817,-262.8,-31.757
0.001284,-255.48,-37.789
0.0012863,-245.98,-43.625
0.0012887,-234.41,-49.217
0.001291,-220.86,-54.516
0.0012933,-205.44,-59.479
0.0012956,-188.3,-64.063
0.001298,-169.58,-68.231
0.0013003,-149.44,-71.947
0.0013026,-128.05,-75.181
0.0013049,-105.6,-77.905
0.0013072,-82.275,-80.097
0.0013102,-52.063,-82.068
0.0013131,-21.186,-83.149
0.0013166,16.369,-83.247
0.0013201,53.575,-82.029
0.0013236,89.721,-79.519
0.0013272,124.12,-75.767
0.0013299,149.53,-71.988
0.0013327,173.17,-67.531
0.0013355,194.74,-62.447
0.0013382,214,-56.798
0.0013404,227.6,-51.918
0.0013427,239.48,-46.755
0.0013449,249.56,-41.35
0.0013471,257.76,-35.742
0.0013493,264.03,-29.974
0.0013515,268.33,-24.089
0.0013537,270.62,-18.131
0.0013559,270.89,-12.145
0.0013582,269.15,-6.1755
0.0013604,265.42,-0.26666
0.0013626,259.73,5.5378
0.0013648,252.14,11.195
0.001367,242.69,16.663
0.0013692,231.47,21.903
0.0013714,218.58,26.875
0.0013737,204.1,31.544
0.0013759,188.17,35.876
0.0013781,170.9,39.84
0.0013803,152.43,43.408
0.0013825,132.9,46.556
0.0013847,112.47,49.261
0.0013875,85.938,51.99
0.0013903,58.562,53.973
0.0013937,23.994,55.367
0.0013971,-10.721,55.574
0.0014005,-44.949,54.6
0.001404,-78.066,52.472
0.0014074,-109.47,49.238
0.0014108,-138.6,44.967
0.0014133,-158.15,41.24
0.0014158,-176.01,37.044
0.0014183,-192.02,32.425
0.0014208,-206.02,27.431
0.0014233,-217.9,22.113
0.0014258,-227.53,16.526
0.0014283,-234.83,10.727
0.0014308,-239.74,4.7753
0.0014333,-242.21,-1.2683
0.0014358,-242.23,-7.3431
0.0014383,-239.82,-13.388
0.0014408,-234.99,-19.342
0.0014433,-227.81,-25.145
0.0014458,-218.35,-30.74
0.0014483,-206.72,-36.071
0.0014508,-193.03,-41.085
0.0014533,-177.43,-45.732
0.0014558,-160.08,-49.967
0.0014583,-141.15,-53.748
0.0014608,-120.83,-57.037
0.0014633,-99.34,-59.803
